GENES	TRBV25-1	TRBV27	TRBV7-6	TRBV7-3	TRBV5-1	TRBV6-4	TRBV4-3	TRBV6-3	TRBV3-1	TRBV5-7	TRBV6-5	TRBV5-6	TRBV5-5	TRBV5-4	TRBV30	TRBV21/OR9-2	TRBV12-4	TRBV7-8	TRBV12-5	TRBV24/OR9-2	TRBV6-6	TRBV6-7	TRBV10-1	TRBV23/OR9-2	TRBV7-4	TRBV4-2	TRBV24-1	TRBV6-1	TRBV20/OR9-2	TRBV12-3	TRBV4-1	TRBV7-7	TRBV20-1	TRBV23-1	TRBV3-2	TRBV19	TRBV11-3	TRBV5-3	TRBV1	TRBV10-3	TRBV10-2	TRBV26/OR9-2	TRBV15	TRBV6-9	TRBV9	TRBV7-9	TRBV21-1	TRBV7-1	TRBV28	TRBV29-1	TRBV26	TRBV2	TRBV11-2	TRBV11-1	TRBV18	TRBV5-8	TRBV14	TRBV16	TRBV6-2	TRBV29/OR9-2	TRBV6-8	TRBV7-2	TRBV13
TRBV29-1	81.0	82.0	79.0	80.0	77.0	82.0	73.0	82.0	79.0	83.0	78.0	81.0	82.0	79.0	78.0	83.0	81.0	79.0	80.0	79.0	78.0	79.0	76.0	55.0	79.0	76.0	79.0	77.0	48.0	80.0	72.0	79.0	51.0	74.0	81.0	78.0	78.0	80.0	75.0	75.0	74.0	78.0	77.0	74.0	78.0	81.0	82.0	82.0	84.0	0.0	77.0	82.0	81.0	80.0	79.0	81.0	81.0	79.0	82.0	6.0	80.0	79.0	80.0
TRBV26	62.0	49.0	79.0	78.0	80.0	56.0	78.0	59.0	79.0	84.0	56.0	85.0	84.0	78.0	81.0	81.0	73.0	78.0	77.0	56.0	52.0	61.0	55.0	58.0	76.0	78.0	56.0	58.0	80.0	72.0	82.0	78.0	79.0	77.0	82.0	62.0	75.0	84.0	80.0	53.0	55.0	9.0	83.0	57.0	79.0	75.0	78.0	73.0	47.0	77.0	0.0	80.0	78.0	80.0	83.0	80.0	78.0	80.0	59.0	80.0	59.0	76.0	80.0
TRBV2	76.0	76.0	55.0	59.0	68.0	78.0	77.0	78.0	67.0	70.0	77.0	72.0	69.0	70.0	77.0	56.0	54.0	54.0	64.0	71.0	73.0	77.0	75.0	48.0	59.0	75.0	71.0	73.0	81.0	54.0	75.0	55.0	80.0	66.0	72.0	76.0	60.0	69.0	73.0	64.0	77.0	78.0	68.0	77.0	66.0	57.0	55.0	60.0	73.0	82.0	80.0	0.0	60.0	61.0	77.0	73.0	59.0	67.0	78.0	82.0	75.0	58.0	59.0
TRBV11-2	79.0	76.0	51.0	46.0	70.0	74.0	66.0	77.0	68.0	67.0	76.0	68.0	63.0	69.0	75.0	70.0	55.0	47.0	63.0	77.0	74.0	75.0	77.0	53.0	51.0	66.0	77.0	77.0	82.0	55.0	71.0	53.0	80.0	66.0	72.0	77.0	17.0	71.0	75.0	74.0	73.0	76.0	73.0	75.0	70.0	47.0	69.0	56.0	75.0	81.0	78.0	60.0	0.0	13.0	65.0	68.0	57.0	58.0	77.0	81.0	76.0	49.0	66.0
TRBV11-1	82.0	76.0	46.0	45.0	65.0	80.0	68.0	74.0	68.0	66.0	74.0	63.0	62.0	66.0	75.0	70.0	56.0	48.0	61.0	81.0	70.0	78.0	79.0	55.0	50.0	70.0	81.0	75.0	80.0	55.0	72.0	48.0	83.0	70.0	72.0	79.0	14.0	67.0	80.0	74.0	74.0	79.0	71.0	73.0	66.0	43.0	64.0	52.0	75.0	80.0	80.0	61.0	13.0	0.0	64.0	66.0	59.0	60.0	74.0	80.0	76.0	48.0	67.0
TRBV18	81.0	83.0	73.0	71.0	77.0	84.0	75.0	84.0	69.0	79.0	82.0	80.0	79.0	77.0	81.0	64.0	68.0	69.0	72.0	85.0	78.0	83.0	81.0	44.0	72.0	73.0	85.0	83.0	83.0	68.0	76.0	76.0	83.0	66.0	77.0	83.0	64.0	81.0	78.0	77.0	82.0	84.0	86.0	83.0	73.0	70.0	64.0	78.0	83.0	79.0	83.0	77.0	65.0	64.0	0.0	79.0	67.0	55.0	84.0	80.0	81.0	73.0	79.0
TRBV5-8	75.0	80.0	70.0	68.0	33.0	78.0	67.0	81.0	73.0	28.0	79.0	25.0	26.0	20.0	74.0	73.0	76.0	73.0	80.0	79.0	79.0	80.0	76.0	60.0	71.0	68.0	79.0	79.0	81.0	76.0	71.0	69.0	83.0	75.0	72.0	80.0	65.0	33.0	73.0	76.0	77.0	80.0	75.0	80.0	49.0	69.0	72.0	70.0	75.0	81.0	80.0	73.0	68.0	66.0	79.0	0.0	74.0	73.0	81.0	82.0	81.0	71.0	46.0
TRBV14	80.0	80.0	62.0	57.0	77.0	82.0	74.0	82.0	72.0	75.0	78.0	74.0	72.0	74.0	78.0	74.0	64.0	56.0	65.0	78.0	73.0	75.0	70.0	50.0	64.0	74.0	78.0	77.0	83.0	64.0	74.0	62.0	83.0	68.0	73.0	80.0	59.0	75.0	76.0	69.0	79.0	79.0	80.0	77.0	70.0	63.0	68.0	66.0	74.0	81.0	78.0	59.0	57.0	59.0	67.0	74.0	0.0	65.0	82.0	83.0	76.0	61.0	68.0
TRBV16	78.0	79.0	72.0	66.0	73.0	77.0	68.0	80.0	67.0	77.0	75.0	77.0	75.0	74.0	80.0	47.0	63.0	67.0	64.0	75.0	76.0	78.0	79.0	31.0	68.0	70.0	75.0	77.0	82.0	62.0	69.0	72.0	81.0	50.0	69.0	78.0	66.0	76.0	73.0	75.0	77.0	81.0	75.0	78.0	67.0	66.0	46.0	77.0	78.0	79.0	80.0	67.0	58.0	60.0	55.0	73.0	65.0	0.0	80.0	80.0	78.0	70.0	71.0
TRBV6-2	63.0	52.0	80.0	78.0	81.0	38.0	82.0	0.0	76.0	82.0	22.0	80.0	81.0	76.0	71.0	83.0	75.0	79.0	82.0	62.0	24.0	31.0	44.0	56.0	78.0	79.0	61.0	23.0	77.0	74.0	86.0	77.0	81.0	82.0	83.0	72.0	76.0	82.0	83.0	39.0	42.0	60.0	83.0	24.0	76.0	78.0	79.0	79.0	57.0	82.0	59.0	78.0	77.0	74.0	84.0	81.0	82.0	80.0	0.0	86.0	27.0	81.0	77.0
TRBV29/OR9-2	83.0	84.0	82.0	81.0	79.0	84.0	76.0	86.0	80.0	86.0	82.0	84.0	85.0	82.0	80.0	81.0	81.0	82.0	85.0	80.0	81.0	81.0	78.0	54.0	82.0	77.0	80.0	80.0	47.0	81.0	76.0	81.0	51.0	76.0	83.0	80.0	79.0	82.0	78.0	76.0	78.0	81.0	76.0	77.0	80.0	82.0	82.0	84.0	83.0	6.0	80.0	82.0	81.0	80.0	80.0	82.0	83.0	80.0	86.0	0.0	82.0	82.0	79.0
TRBV6-8	62.0	53.0	77.0	74.0	80.0	38.0	78.0	27.0	73.0	82.0	16.0	81.0	82.0	77.0	73.0	80.0	73.0	76.0	79.0	64.0	20.0	20.0	41.0	56.0	74.0	78.0	64.0	22.0	75.0	73.0	80.0	76.0	75.0	80.0	77.0	70.0	75.0	82.0	81.0	39.0	36.0	62.0	77.0	21.0	76.0	76.0	78.0	78.0	58.0	80.0	59.0	75.0	76.0	76.0	81.0	81.0	76.0	78.0	27.0	82.0	0.0	77.0	74.0
TRBV7-2	82.0	75.0	27.0	26.0	71.0	76.0	70.0	81.0	79.0	73.0	79.0	72.0	72.0	73.0	70.0	68.0	52.0	25.0	58.0	80.0	76.0	75.0	77.0	53.0	30.0	69.0	80.0	76.0	81.0	51.0	74.0	27.0	80.0	72.0	79.0	73.0	51.0	73.0	71.0	72.0	73.0	77.0	73.0	78.0	69.0	32.0	68.0	20.0	75.0	79.0	76.0	58.0	49.0	48.0	73.0	71.0	61.0	70.0	81.0	82.0	77.0	0.0	67.0
TRBV13	75.0	76.0	69.0	65.0	46.0	75.0	67.0	77.0	62.0	40.0	76.0	41.0	37.0	44.0	71.0	67.0	60.0	68.0	76.0	66.0	74.0	74.0	75.0	53.0	67.0	68.0	66.0	75.0	77.0	59.0	70.0	66.0	77.0	72.0	63.0	81.0	66.0	44.0	75.0	70.0	77.0	82.0	64.0	76.0	37.0	66.0	62.0	64.0	74.0	80.0	80.0	59.0	66.0	67.0	79.0	46.0	68.0	71.0	77.0	79.0	74.0	67.0	0.0
